elt_condition,pc_brand,pc_model,pc_cpu,pc_ram,pc_drive_capacity,usage_information,pc_vga,desktop_screen_size,elt_warranty,elt_origin,classify,price
Đã sử dụng (chưa sửa chữa),HP,ZBook,Intel Core i7,16 GB,500 GB,In trên bao bì,NVIDIA,13 - 14.9 inch,Hết bảo hành,Mỹ,laptop,14.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Dòng Khác,Intel Core i5,8 GB,,In trên bao bì,,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,13.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Elitebook,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Mỹ,laptop,7.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i3,4 GB,500 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,1.100.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,4 GB,500 GB,In trên bao bì,Khác,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,3.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Pavilion,Intel Core i3,4 GB,512 GB,In trên bao bì,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,12.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air M1,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,14.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Mỹ,laptop,13.300.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface,Intel Core i7,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,laptop,6.500.000 đ
