,pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,classify,price (VND),pc_cpu_label
5344,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,6100000.0,Intel
5345,Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Ryzen 7,16 GB,NVIDIA,512 GB,Việt Nam,laptop,11900000.0,AMD
5346,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Nước khác,laptop,2650000.0,Intel
5347,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,2300000.0,Intel
5348,Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,laptop,5000000.0,Intel
5349,Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,laptop,11999999.0,Intel
5350,Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Apple M1,8 GB,Onboard,256 GB,Việt Nam,laptop,12300000.0,Apple
5351,Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Nước khác,laptop,12490000.0,Intel
5352,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Mỹ,laptop,10590000.0,Intel
5353,HP,Pavilion,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Việt Nam,laptop,9000000.0,Intel
5354,HP,Elitebook,Đã sử dụng (chưa sửa chữa),Hết bảo hành,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,laptop,2800000.0,Intel
5355,Dell,Inspiron,Mới,Hết bảo hành,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Mỹ,laptop,5900000.0,Intel
5356,HP,Spectre,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,1200000.0,Intel
5357,Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,2590000.0,Intel
5358,HP,Notebook,Mới,3 tháng,17 - 18.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,laptop,10990000.0,Intel
5359,Dell,Latitude,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,laptop,15900000.0,Intel
5360,Hãng Khác,Dòng khác,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,4 GB,AMD,128 GB,Nước khác,laptop,3900000.0,Intel
5361,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nhật Bản,laptop,3800000.0,Intel
5362,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Nước khác,laptop,10990000.0,Intel
5363,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,3700000.0,Intel
5364,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,3700000.0,Intel
5365,Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Apple M1,8 GB,Onboard,256 GB,Việt Nam,laptop,13986000.0,Apple
5366,Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,laptop,5900000.0,Intel
5367,Microsoft,Surface,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Nhật Bản,laptop,5900000.0,Intel
5368,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,4 GB,NVIDIA,< 128 GB,Nước khác,laptop,3200000.0,Intel
5369,HP,Elitebook,Mới,1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,laptop,4500000.0,Intel
5370,Samsung,Galaxyboook,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,512 GB,Nước khác,laptop,15990000.0,Intel
5371,HP,Envy,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,1 TB,Nước khác,laptop,3250000.0,Intel
5372,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i7,32 GB,Onboard,512 GB,Nước khác,laptop,16999999.0,Intel
5373,HP,Pavilion,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Nước khác,laptop,2800000.0,Intel
5374,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Nước khác,laptop,16500000.0,Intel
5375,MSI,GP Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Nước khác,laptop,10500000.0,Intel
5376,Toshiba,Portege,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,laptop,3390000.0,Intel
5377,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Nước khác,laptop,1999999.0,Intel
5378,Hãng Khác,Dòng khác,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,700000.0,Intel
5379,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Nước khác,laptop,1300000.0,Intel
5380,Dell,Precision,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,laptop,4000000.0,Intel
5381,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Ryzen 5,8 GB,AMD,256 GB,Nước khác,laptop,7800000.0,AMD
5382,Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,laptop,15900000.0,Intel
5383,HP,Pavilion,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Mỹ,laptop,4600000.0,Intel
5384,Sony,Vaio Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,laptop,3200000.0,Intel
5385,Dell,XPS,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Nước khác,laptop,19990000.0,Intel
5386,Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,laptop,3900000.0,Intel
5387,Acer,Aspire,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,laptop,5800000.0,Intel
5388,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core 2 Duo,2 GB,Onboard,320 GB,Nước khác,laptop,1050000.0,Intel
5389,Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,6500000.0,Intel
5390,Acer,Aspire,Mới,>12 tháng,9 - 10.9 inch,Intel Core i3,6 GB,Onboard,256 GB,Hàn Quốc,laptop,2200000.0,Intel
5391,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nhật Bản,laptop,4150000.0,Intel
5392,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,3600000.0,Intel
5393,HP,Elitebook,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Nước khác,laptop,4000000.0,Intel
5394,Dell,Latitude,Mới,3 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,4280000.0,Intel
5395,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Nước khác,laptop,11490000.0,Intel
5396,HP,ProBook,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,laptop,5300000.0,Intel
5397,Dell,Precision,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,laptop,7000000.0,Intel
5398,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i3,4 GB,Onboard,< 128 GB,Việt Nam,laptop,2200000.0,Intel
5399,HP,Elitebook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,laptop,7600000.0,Intel
5400,Apple,MacBook,Đã sử dụng (qua sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,laptop,6800000.0,Intel
5401,HP,Victus,Mới,>12 tháng,15 - 16.9 inch,Ryzen 5,8 GB,NVIDIA,512 GB,Việt Nam,laptop,16300000.0,AMD
5402,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Trung Quốc,laptop,4599000.0,Intel
5403,HP,OMEN,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Nhật Bản,laptop,8500000.0,Intel
